Application Date,Age,Annual Income,Credit Score,Employment Status,Experience,Loan Amount,Loan Duration,Home Ownership Status,Monthly Debt Payments,CreditCard Utilization Rate,Number Of Open CreditLines,Number Of CreditInquiries,Debt To Income Ratio,Bankruptcy History,Loan Purpose,Payment History,Length Of Credit History,Total Assets,Total Liabilities,Monthly Income,Job Tenure,Net Worth,Interest Rate,Monthly Loan Payment,Loan Approved,Risk Score
01/01/2018,45,39948,617,Employed,22,13152,48,Own,183,0.354417918807658,1,2,0.358335599698191,0,Home,29,9,146111,19183,3329,11,126928,0.22758963035547,419.805991560737,0,49
01/02/2018,38,39709,628,Employed,15,26045,48,Mortgage,496,0.0878269682003487,5,3,0.330273669928854,0,Debt Consolidation,21,9,53204,9595,3309.08333333333,3,43609,0.201077121496936,794.054238219896,0,52
01/04/2018,58,69084,545,Employed,34,37898,96,Mortgage,755,0.267587136945328,2,1,0.436244265068268,0,Home,27,10,104822,5370,5757,5,99452,0.300910849149601,1047.50698022929,0,54
01/05/2018,37,103264,594,Employed,17,9184,36,Mortgage,274,0.320535324738524,0,0,0.0788842122687955,0,Debt Consolidation,26,27,244305,17286,8605.33333333333,5,227019,0.175990178775328,330.179140484823,1,36
01/06/2018,37,178310,626,Self-Employed,16,15433,72,Rent,732,0.102211336838256,5,1,0.259366400840389,0,Debt Consolidation,16,19,67914,40843,14859.1666666666,5,27071,0.217601155122833,385.577074153195,1,44
01/07/2018,58,51250,564,Employed,39,12741,48,Rent,337,0.367380342538335,6,1,0.127472703180466,0,Other,21,18,65624,43894,4270.83333333333,5,21730,0.205270967806103,391.300351665289,0,50
01/08/2018,49,97345,516,Employed,23,19634,12,Mortgage,288,0.209767583167721,5,0,0.395567635124731,0,Other,19,11,50177,11556,8112.08333333333,5,38621,0.209112942098214,1827.3600549751,1,42.4
01/09/2018,34,116841,603,Employed,12,55353,60,Own,638,0.192701164784136,3,0,0.313233259501642,1,Debt Consolidation,25,29,29632,49940,9736.75,3,7711,0.291539424809367,1762.19902602116,0,61
01/10/2018,46,40615,612,Employed,19,25443,12,Other,704,0.512464643968766,3,2,0.505148026760231,0,Other,23,10,129664,12852,3384.58333333333,3,116812,0.1972706023859,2353.57742393819,0,53
01/11/2018,34,73646,478,Employed,10,48716,84,Own,267,0.211235987957689,4,1,0.0814447301385817,0,Auto,25,7,148966,20315,6137.16666666666,4,128651,0.333538881764536,1504.45248925051,0,47
01/12/2018,34,15000,591,Employed,11,30088,24,Mortgage,295,0.31218377517735,5,1,0.34668566119034,0,Home,21,28,33062,3353,1250,3,29709,0.182401197841573,1505.6095277284,0,56
01/13/2018,42,74453,573,Employed,21,16154,60,Rent,258,0.527488434435663,6,0,0.371033592059185,0,Debt Consolidation,26,7,16204,35493,6204.41666666666,5,5231,0.255684530567919,479.53989030978,0,56
01/14/2018,18,100508,580,Employed,0,20439,60,Rent,247,0.168624846319047,5,2,0.581360980386502,0,Other,20,3,181813,99030,8375.66666666666,6,82783,0.245374273754178,594.38153317064,0,63
01/15/2018,19,47624,597,Employed,0,27197,36,Mortgage,196,0.114966564252275,2,1,0.751514819274665,0,Debt Consolidation,15,21,45336,9418,3968.66666666666,3,35918,0.202228921780919,1013.82937482634,0,58
01/16/2018,33,56650,605,Employed,11,12652,36,Mortgage,336,0.423430863065056,4,0,0.0441568040602275,0,Auto,21,15,261435,11144,4720.83333333333,2,250291,0.216412752480411,480.840827953729,1,33.6
01/17/2018,27,50042,582,Employed,7,19105,60,Rent,680,0.103919133839664,6,3,0.308869314312398,0,Debt Consolidation,36,14,11162,89196,4170.16666666666,5,7021,0.187129387140218,492.581443742737,0,53
01/18/2018,43,142326,644,Employed,24,13499,96,Mortgage,772,0.222579230892687,1,2,0.29546987577122,0,Other,18,2,73836,4213,11860.5,5,69623,0.223794765306806,303.195230930083,1,39.2
01/19/2018,29,16021,553,Employed,8,14655,72,Rent,286,0.556030010202771,5,1,0.104568689882526,0,Debt Consolidation,25,12,29278,25345,1335.08333333333,4,3933,0.234766212860543,381.176875829788,0,59
01/20/2018,23,34698,594,Employed,0,14314,60,Mortgage,755,0.187202840408497,5,0,0.100597961716338,0,Debt Consolidation,27,29,128035,72605,2891.5,5,55430,0.231478313815481,404.735088909058,0,48
01/21/2018,57,106749,630,Employed,30,15698,48,Rent,1059,0.132542598477651,0,1,0.147279682022442,0,Auto,21,14,212568,8152,8895.75,4,204416,0.204412691897652,481.394288551742,1,32.8
01/22/2018,37,59138,594,Employed,14,13205,72,Own,564,0.393772188377873,2,1,0.11166322653425,0,Auto,18,9,24257,18681,4928.16666666666,4,5576,0.211443960619949,325.117421127331,0,51
01/23/2018,40,114216,635,Employed,17,9809,60,Rent,571,0.224187420808418,3,1,0.630448392901255,0,Home,26,2,23984,27250,9518,10,2482,0.201114033727948,260.486905251687,1,46.4
01/24/2018,22,63300,503,Employed,0,16476,24,Rent,376,0.389649375467071,3,1,0.235798588857208,0,Home,29,7,14710,53225,5275,5,6903,0.231670288042,864.269472834161,0,53
01/25/2018,33,39676,555,Employed,12,47795,60,Other,199,0.346519864032026,2,1,0.573394537530869,0,Home,19,4,157749,76577,3306.33333333333,4,81172,0.253474141754257,1412.59789052373,0,60
01/26/2018,41,59192,594,Unemployed,16,45608,36,Mortgage,222,0.409336365467557,4,0,0.230115845479384,0,Auto,18,1,67609,9196,4932.66666666666,3,58413,0.200682644451541,1696.54348946886,0,58
01/27/2018,26,15059,462,Employed,0,20240,24,Other,443,0.0988217595655066,2,0,0.0670663376140666,0,Home,16,25,29861,13107,1254.91666666666,12,16754,0.246020665102625,1076.20270609607,0,51
01/28/2018,44,15305,608,Self-Employed,23,21452,48,Mortgage,443,0.111314691918679,1,1,0.0631537920264881,0,Home,21,29,16936,7005,1275.41666666666,2,9931,0.22537530218123,682.144064155741,0,51
01/29/2018,32,35498,622,Employed,10,11136,36,Own,698,0.390744710141613,2,0,0.176444352148732,0,Home,18,17,34189,31484,2958.16666666666,3,2705,0.164845971258602,394.178184525089,0,48
01/30/2018,36,60227,576,Employed,14,25264,84,Own,458,0.278275342955581,3,1,0.144112682472537,0,Home,27,28,141168,35773,5018.91666666666,5,105395,0.239128970981678,622.019093278016,1,36.8
01/31/2018,32,23861,592,Self-Employed,10,19570,36,Other,521,0.232777306172351,2,3,0.223711224522306,0,Auto,29,27,85166,8627,1988.41666666666,8,76539,0.197034892145729,724.338061828906,0,55
02/01/2018,62,73843,667,Unemployed,37,44668,60,Other,388,0.295958320234708,7,2,0.156913701369702,1,Home,16,3,56887,90622,6153.58333333333,5,3068,0.234603327795041,1271.0537546851,0,62
02/02/2018,39,61099,559,Employed,19,10094,84,Mortgage,380,0.12835141363352,1,0,0.265219566244273,0,Auto,21,19,69823,23540,5091.58333333333,4,46283,0.26105004582748,262.67015117441,0,51
02/03/2018,27,15000,535,Employed,4,11318,120,Mortgage,721,0.582754942196379,2,3,0.448384818730904,0,Home,15,18,303949,13680,1250,1,290269,0.343594010506414,335.398646703827,0,53
02/04/2018,49,34738,520,Employed,25,10166,72,Mortgage,388,0.566340204879745,3,3,0.314513810526443,0,Home,27,4,249298,10972,2894.83333333333,2,238326,0.273933243435812,288.959832749092,0,55
02/05/2018,25,85889,571,Employed,3,24186,72,Rent,870,0.331656765232429,4,0,0.0505386436633547,0,Education,31,10,18899,5554,7157.41666666666,4,13345,0.279617748167184,696.136454548309,0,49
02/06/2018,42,78701,552,Employed,18,18326,60,Rent,482,0.188005301128613,6,1,0.0713019781228963,0,Home,25,19,170720,30154,6558.41666666666,7,140566,0.218912350921585,505.011550315592,1,36
02/07/2018,18,24914,604,Employed,0,8015,36,Mortgage,327,0.376158795200854,1,4,0.644265859972268,0,Auto,17,28,49999,8146,2076.16666666666,7,41853,0.152812,278.947581094387,1,45.6
02/08/2018,24,57231,508,Unemployed,0,35876,48,Rent,370,0.572203517627025,3,0,0.134740613395815,0,Auto,20,21,214229,73682,4769.25,8,140547,0.230468198216474,1150.79907648765,0,50
02/09/2018,42,163303,655,Self-Employed,23,12850,72,Other,337,0.357969312647854,3,0,0.072959105598751,0,Debt Consolidation,19,1,115322,17900,13608.5833333333,8,97422,0.189531294088255,300.046161340311,1,37.6
02/10/2018,48,38453,595,Unemployed,26,30517,48,Own,560,0.382437704564685,0,0,0.103003264767073,0,Home,22,20,46352,3481,3204.41666666666,6,42871,0.226230532912701,971.823060228116,0,54
02/11/2018,42,99920,582,Self-Employed,20,23363,12,Other,298,0.615080763381052,3,2,0.205830959548264,0,Debt Consolidation,20,11,27778,23569,8326.66666666666,10,4209,0.175435685501927,2136.84799279617,1,44.8
02/12/2018,38,57860,591,Employed,20,25576,96,Rent,159,0.144070320692704,3,0,0.0743870323199498,0,Auto,27,1,463089,25653,4821.66666666666,8,437436,0.287654957738566,683.404351218965,0,47
02/13/2018,36,30890,590,Employed,16,10176,24,Own,289,0.213863749082104,3,1,0.124730217153778,0,Education,23,6,43010,28334,2574.16666666666,7,14676,0.176526645053042,506.321520640589,0,53
02/14/2018,22,15561,500,Employed,1,20169,36,Rent,346,0.104223770705815,6,0,0.374558377183341,0,Debt Consolidation,25,13,16965,5913,1296.75,4,11052,0.242390299816002,793.820907828075,0,55
02/15/2018,31,105957,530,Employed,7,53987,72,Other,399,0.0464504455465448,0,0,0.621059192253641,0,Auto,31,16,165299,69541,8829.75,3,95758,0.326750987777758,1718.37731315028,0,54
02/16/2018,34,82887,545,Employed,13,20996,84,Other,471,0.37401704300314,2,0,0.151595947864791,0,Other,19,8,17748,117394,6907.25,2,4958,0.279583208405156,571.787872261575,0,50
02/17/2018,52,53555,631,Employed,31,29418,60,Own,221,0.257700044195851,0,1,0.147909137742193,0,Education,28,20,12300,27582,4462.91666666666,4,2753,0.217663879830593,808.590559366011,0,47
02/18/2018,44,105639,627,Employed,20,20409,108,Rent,387,0.28217446641347,1,4,0.327078396634624,0,Home,22,21,165235,22300,8803.25,5,142935,0.263740227203748,495.951574942379,0,46
02/19/2018,18,58342,519,Employed,0,10077,24,Mortgage,592,0.159214492758553,3,0,0.19286915587164,0,Debt Consolidation,20,7,25120,15562,4861.83333333333,8,9558,0.260699050163498,543.249360426276,0,50
02/20/2018,43,121939,653,Employed,25,41215,48,Mortgage,220,0.532941404198365,2,1,0.244425123187209,0,Other,30,12,188167,2457,10161.5833333333,8,185710,0.184649279571786,1220.7265633854,1,32.8
02/21/2018,35,16054,526,Employed,13,20612,36,Own,465,0.144362236766924,1,2,0.206533044182918,0,Education,25,21,51140,11870,1337.83333333333,6,39270,0.231663828028265,799.673339144759,0,53
